Name,Year,Oscars_ID,Won,imdb_rating,imdb_votes,box_office,metascore,rotten_tomatoes_rating
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,37,No,8.4,"511,830",9440272,97,98
Mary Poppins,1964,37,No,7.8,"183,608",102272727,88,96
Zorba the Greek,1964,37,No,7.6,"23,842",,N/A,80
The Sound of Music,1965,38,Yes,8.1,"256,150",159287539,63,83
Darling,1965,38,No,7.0,"7,790",,N/A,67
Doctor Zhivago,1965,38,No,7.9,"81,145",111721910,69,82
Ship of Fools,1965,38,No,7.1,"6,741",,N/A,61
A Thousand Clowns,1965,38,No,7.3,"3,658",5232000,N/A,72
A Man for All Seasons,1966,39,Yes,7.7,"36,746",,72,89
Alfie,1966,39,No,7.0,"15,642",,70,97
"The Russians Are Coming, the Russians Are Coming",1966,39,No,7.0,"9,864",,69,86
The Sand Pebbles,1966,39,No,7.5,"16,104",,N/A,84
Who's Afraid of Virginia Woolf?,1966,39,No,8.0,"79,187",28000000,75,96
In the Heat of the Night,1967,40,Yes,7.9,"82,264",,76,96
Bonnie and Clyde,1967,40,No,7.7,"119,517",,86,90
Doctor Dolittle,1967,40,No,6.1,"10,160",,34,29
The Graduate,1967,40,No,8.0,"286,280",104945305,83,86
Guess Who's Coming to Dinner,1967,40,No,7.8,"48,179",56666667,63,71
Oliver!,1968,41,Yes,7.4,"41,018",,74,90
Funny Girl,1968,41,No,7.4,"24,782",52223306,89,94
The Lion in Winter,1968,41,No,7.9,"33,821",18177,N/A,91
"Rachel, Rachel",1968,41,No,7.1,"4,005",,74,
Romeo and Juliet,1968,41,No,7.6,"34,267",,69,95
Midnight Cowboy,1969,42,Yes,7.8,"118,444",44785053,79,89
Anne of the Thousand Days,1969,42,No,7.4,"8,025",2068232,N/A,43
Butch Cassidy and the Sundance Kid,1969,42,No,8.0,"225,238",102308889,66,90
"Hello, Dolly!",1969,42,No,7.0,"16,776",400881,51,45
Z,1969,42,No,8.2,"30,875",83305,86,94
Patton,1970,43,Yes,7.9,"107,162",61749765,86,91
Airport,1970,43,No,6.6,"21,341",100489151,42,75
Five Easy Pieces,1970,43,No,7.4,"40,039",,85,89
Love Story,1970,43,No,6.9,"36,863",106550690,84,66
M*A*S*H,1970,43,No,7.4,"76,103",81600000,80,84
The French Connection,1971,44,Yes,7.7,"133,696",51700000,94,96
A Clockwork Orange,1971,44,No,8.3,"870,120",26617553,77,87
Fiddler on the Roof,1971,44,No,8.0,"47,066",10404330,67,80
The Last Picture Show,1971,44,No,8.0,"51,744",29133000,93,98
Nicholas and Alexandra,1971,44,No,7.2,"5,482",,57,69
The Godfather,1972,45,Yes,9.2,"1,979,342",136381073,100,97
Cabaret,1972,45,No,7.8,"58,541",,80,92
Deliverance,1972,45,No,7.7,"117,682",,80,89
The Emigrants,1971,45,No,8.0,"7,295",1156554,N/A,94
Sounder,1972,45,No,7.5,"4,705",3100601,80,91
The Sting,1973,46,Yes,8.3,"276,825",156000000,83,93
American Graffiti,1973,46,No,7.4,"97,197",115265985,97,95
Cries & Whispers,1972,46,No,8.0,"36,517",,N/A,91
The Exorcist,1973,46,No,8.1,"449,702",233005644,81,78
A Touch of Class,1973,46,No,6.5,"3,472",18312000,N/A,85
The Godfather Part II,1974,47,Yes,9.0,"1,343,537",47834595,90,96
Chinatown,1974,47,No,8.2,"344,671",29200000,92,99
The Conversation,1974,47,No,7.8,"119,679",4671805,87,97
Lenny,1974,47,No,7.5,"17,297",8427866,61,87
The Towering Inferno,1974,47,No,7.0,"47,647",116000000,69,68
One Flew Over the Cuckoo's Nest,1975,48,Yes,8.7,"1,060,833",108981275,84,93
Barry Lyndon,1975,48,No,8.1,"180,427",,89,87
Dog Day Afternoon,1975,48,No,8.0,"270,718",50000000,86,96
Jaws,1975,48,No,8.1,"649,700",266567580,87,97
Nashville,1975,48,No,7.6,"28,172",9984123,96,91
Rocky,1976,49,Yes,8.1,"618,404",117235147,70,92
All the President's Men,1976,49,No,7.9,"124,703",70600000,84,94
Bound for Glory,1976,49,No,7.2,"5,528",,70,84
Network,1976,49,No,8.1,"168,392",23689877,83,91
Taxi Driver,1976,49,No,8.2,"902,374",28262574,94,89
Annie Hall,1977,50,Yes,8.0,"275,736",38251425,92,97
The Goodbye Girl,1977,50,No,7.4,"15,913",102000000,64,80
Julia,1977,50,No,7.1,"10,324",20714400,58,73
Star Wars,1977,50,No,8.6,"1,429,914",460998507,90,93
The Turning Point,1977,50,No,6.8,"5,083",25933445,68,63
The Deer Hunter,1978,51,Yes,8.1,"357,211",48979328,86,86
Coming Home,1978,51,No,7.3,"14,629",32653905,61,83
Heaven Can Wait,1978,51,No,6.9,"23,074",81640278,72,85
Midnight Express,1978,51,No,7.5,"87,410",35000000,59,90
An Unmarried Woman,1978,51,No,7.2,"5,946",24000000,79,89
Kramer vs. Kramer,1979,52,Yes,7.8,"153,003",106260000,77,89
All That Jazz,1979,52,No,7.8,"34,584",37823676,72,87
Apocalypse Now,1979,52,No,8.4,"700,984",96042913,94,98
Breaking Away,1979,52,No,7.7,"25,109",16424918,91,95
Norma Rae,1979,52,No,7.3,"12,605",22228000,61,91
Ordinary People,1980,53,Yes,7.7,"55,963",54766923,86,89
Coal Miner's Daughter,1980,53,No,7.5,"20,123",67182787,87,86
The Elephant Man,1980,53,No,8.2,"255,412",26010864,78,92
Raging Bull,1980,53,No,8.1,"375,953",23383987,90,92
Tess,1979,53,No,7.3,"18,015",20093330,82,81
Chariots of Fire,1981,54,Yes,7.1,"65,061",58972904,78,83
Atlantic City,1980,54,No,7.3,"18,067",12729675,85,
On Golden Pond,1981,54,No,7.6,"34,400",119285432,68,91
Raiders of the Lost Ark,1981,54,No,8.4,"1,024,757",248159971,85,93
Reds,1981,54,No,7.3,"24,429",40382659,76,90
Gandhi,1982,55,Yes,8.0,"239,076",52767889,79,89
E.T. the Extra-Terrestrial,1982,55,No,7.9,"432,204",437345144,92,99
Missing,1982,55,No,7.7,"22,914",14000000,78,94
Tootsie,1982,55,No,7.4,"113,545",177200000,88,91
The Verdict,1982,55,No,7.7,"45,217",53977250,77,89
Terms of Endearment,1983,56,Yes,7.4,"64,448",108423489,79,82
The Big Chill,1983,56,No,7.1,"40,786",56399659,61,71
The Dresser,1983,56,No,7.5,"5,619",5310748,N/A,100
The Right Stuff,1983,56,No,7.8,"64,685",21192102,91,96
Tender Mercies,1983,56,No,7.3,"11,806",8443124,76,82
Amadeus,1984,57,Yes,8.4,"422,863",51973029,87,89
The Killing Fields,1984,57,No,7.8,"58,418",34700291,76,93
A Passage to India,1984,57,No,7.3,"20,300",27187653,78,79
Places in the Heart,1984,57,No,7.4,"13,039",34901614,70,89
A Soldier's Story,1984,57,No,7.2,"11,165",21821347,66,91
Out of Africa,1985,58,Yes,7.1,"85,028",87071205,69,63
The Color Purple,1985,58,No,7.7,"95,410",98467863,78,73
Kiss of the Spider Woman,1985,58,No,7.3,"17,158",17005229,80,86
Prizzi's Honor,1985,58,No,6.7,"25,916",26657534,84,85
Witness,1985,58,No,7.4,"103,058",68706993,76,93
Platoon,1986,59,Yes,8.1,"433,580",138530565,92,89
Children of a Lesser God,1986,59,No,7.2,"18,340",31853080,80,80
Hannah and Her Sisters,1986,59,No,7.8,"75,632",40084041,90,91
The Mission,1986,59,No,7.4,"64,833",17218023,55,66
A Room with a View,1985,59,No,7.2,"47,026",20966644,83,100
The Last Emperor,1987,60,Yes,7.7,"109,868",43984230,76,86
Broadcast News,1987,60,No,7.3,"33,624",51249404,84,98
Fatal Attraction,1987,60,No,6.9,"95,490",156645693,67,74
Hope and Glory,1987,60,No,7.3,"14,418",10021120,86,96
Moonstruck,1987,60,No,7.2,"66,306",80640528,83,92
Rain Man,1988,61,Yes,8.0,"539,730",172825435,65,88
The Accidental Tourist,1988,61,No,6.7,"17,128",32632093,53,82
Dangerous Liaisons,1988,61,No,7.6,"74,536",34670720,74,94
Mississippi Burning,1988,61,No,7.8,"107,921",34603943,65,79
Working Girl,1988,61,No,6.8,"61,593",63779477,73,83
Driving Miss Daisy,1989,62,Yes,7.3,"116,279",106593296,81,85
Born on the Fourth of July,1989,62,No,7.2,"114,564",70001698,75,84
Dead Poets Society,1989,62,No,8.1,"533,835",95860116,79,84
Field of Dreams,1989,62,No,7.5,"126,265",64431625,57,88
My Left Foot,1989,62,No,7.8,"78,852",14743391,97,98
Dances with Wolves,1990,63,Yes,8.0,"286,885",184208848,72,87
Awakenings,1990,63,No,7.8,"155,485",52096475,74,84
Ghost,1990,63,No,7.1,"232,635",217631306,52,75
The Godfather Part III,1990,63,No,7.6,"419,084",66761392,60,66
Goodfellas,1990,63,No,8.7,"1,236,150",46909721,92,94
The Silence of the Lambs,1991,64,Yes,8.6,"1,521,422",130742922,86,95
Beauty and the Beast,1991,64,No,8.0,"475,064",218967620,95,93
Bugsy,1991,64,No,6.8,"30,625",49114016,80,84
JFK,1991,64,No,8.0,"167,664",70405498,72,84
The Prince of Tides,1991,64,No,6.8,"19,376",74787599,65,68
Unforgiven,1992,65,Yes,8.2,"430,900",101167799,85,96
The Crying Game,1992,65,No,7.2,"59,373",62548947,90,95
A Few Good Men,1992,65,No,7.7,"283,159",141340178,62,84
Howards End,1992,65,No,7.4,"35,221",26126837,88,94
Scent of a Woman,1992,65,No,8.0,"323,457",63095253,59,85
Schindler's List,1993,66,Yes,9.0,"1,427,588",96898818,95,98
The Fugitive,1993,66,No,7.8,"314,437",183875760,87,96
In the Name of the Father,1993,66,No,8.1,"184,824",25096862,84,94
The Piano,1993,66,No,7.5,"93,869",40157856,89,90
The Remains of the Day,1993,66,No,7.8,"82,552",23237911,86,96
Forrest Gump,1994,67,Yes,8.8,"2,216,551",330455270,82,71
Four Weddings and a Funeral,1994,67,No,7.1,"163,251",52700832,81,96
Pulp Fiction,1994,67,No,8.9,"2,179,429",107928762,95,92
Quiz Show,1994,67,No,7.5,"72,565",24822619,92,96
The Shawshank Redemption,1994,67,No,9.3,"2,851,631",28767189,82,91
Braveheart,1995,68,Yes,8.3,"1,079,159",75609945,68,76
Apollo 13,1995,68,No,7.7,"311,949",173837933,77,96
Babe,1995,68,No,6.9,"132,541",63658910,83,97
The Postman (Il Postino),1994,68,No,N/A,N/A,,N/A,
Sense and Sensibility,1995,68,No,7.7,"123,548",43182776,84,97
The English Patient,1996,69,Yes,7.4,"197,965",78676425,87,86
Fargo,1996,69,No,8.1,"713,936",24611975,86,94
Jerry Maguire,1996,69,No,7.3,"283,214",153952592,77,84
Secrets & Lies,1996,69,No,N/A,N/A,,N/A,
Shine,1996,69,No,7.6,"56,241",35892330,87,91
Titanic,1997,70,Yes,7.9,"1,261,488",674292608,75,88
As Good as It Gets,1997,70,No,7.7,"315,316",148478011,67,86
The Full Monty,1997,70,No,7.2,"112,894",45950122,75,96
Good Will Hunting,1997,70,No,8.3,"1,042,254",138433435,70,97
L.A. Confidential,1997,70,No,8.2,"610,694",64616940,91,99
Shakespeare in Love,1998,71,Yes,7.1,"232,666",100317794,87,92
Elizabeth,1998,71,No,7.4,"104,131",30082699,75,83
Life Is Beautiful,1997,71,No,8.6,"735,014",57563264,59,81
Saving Private Ryan,1998,71,No,8.6,"1,473,062",217049603,91,94
The Thin Red Line,1998,71,No,7.6,"197,318",36400491,78,80
American Beauty,1999,72,Yes,8.3,"1,198,421",130096601,84,87
The Cider House Rules,1999,72,No,7.4,"103,861",57545092,75,71
The Green Mile,1999,72,No,8.6,"1,383,786",136801374,61,79
The Insider,1999,72,No,7.8,"178,539",29089912,84,96
The Sixth Sense,1999,72,No,8.2,"1,037,760",293506292,64,86
Gladiator,2000,73,Yes,8.5,"1,591,115",187705427,67,79
Chocolat,2000,73,No,7.3,"200,270",71509363,64,63
"Crouching Tiger, Hidden Dragon",2000,73,No,7.9,"279,563",128530421,94,98
Erin Brockovich,2000,73,No,7.4,"216,230",125595205,73,85
Traffic,2000,73,No,7.6,"217,868",124115725,86,93
A Beautiful Mind,2001,74,Yes,8.2,"977,207",170742341,72,74
Gosford Park,2001,74,No,7.2,"92,690",41308615,90,87
In the Bedroom,2001,74,No,7.4,"42,161",35930604,86,93
The Lord of the Rings: The Fellowship of the Ring,2001,74,No,8.9,"1,973,498",316115420,92,91
Moulin Rouge!,2001,74,No,7.6,"296,690",57386607,66,75
